,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (80,), 'clf__alpha': 1e-05, 'clf__activation': 'tanh'}",11,0.5183686826993106,8,0.5767418491569978,12,0.5210523851963514,14,0.6056689236916981,9,0.5163253482481092,5,0.6175692701407396,11,0.5557317290923692
1,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (90,), 'clf__alpha': 0.01, 'clf__activation': 'logistic'}",7,0.523673415813728,12,0.5692045303099306,10,0.5275372048085184,12,0.6075298471201358,11,0.5141328486437909,11,0.5966306043013221,5,0.5852811166242575
2,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (30,), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",8,0.5234586178018861,6,0.5769945772829572,14,0.517118490932925,11,0.6089979160835742,6,0.5186725026861247,8,0.6161905573499814,13,0.550600911977384
3,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (30,), 'clf__alpha': 1e-06, 'clf__activation': 'tanh'}",9,0.523392427231721,7,0.5769406715106818,15,0.517053986982074,10,0.6090218061958733,7,0.5185974849544568,9,0.616146193630232,14,0.5505361556711165
4,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (60,), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",2,0.5416723967018056,1,0.5916631373643179,5,0.5418905888067278,1,0.6301967999269686,2,0.537411294575689,2,0.624358912908328,7,0.5825748621867657
5,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'invscaling', 'clf__hidden_layer_sizes': (40,), 'clf__alpha': 0.1, 'clf__activation': 'logistic'}",6,0.5278437595045758,10,0.5697265032627618,4,0.5534251812166224,9,0.6096997920533458,12,0.5040734816688595,12,0.5884286663492095,4,0.6536998848751643
6,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (100,), 'clf__alpha': 1e-05, 'clf__activation': 'relu'}",5,0.5325482910813335,4,0.5863067445486236,9,0.5277899031065748,3,0.6235130182400963,4,0.5300419005153801,1,0.6261420101768143,10,0.5579196882555882
7,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'invscaling', 'clf__hidden_layer_sizes': (60,), 'clf__alpha': 1e-05, 'clf__activation': 'relu'}",1,0.5423644612691949,2,0.5906792631916323,6,0.5389924509165842,2,0.6271220723847878,1,0.5384924603612924,4,0.6236197050599235,8,0.5761802069938987
8,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (60,), 'clf__alpha': 0.0001, 'clf__activation': 'identity'}",13,0.5009984726904064,14,0.5469821277038985,1,0.597324670575037,7,0.6158495775465902,13,0.4562841527157262,15,0.5773084674599358,1,0.7684302602820035
9,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (70,), 'clf__alpha': 0.01, 'clf__activation': 'identity'}",15,0.49763068492571044,13,0.5472017757161706,3,0.589284028485291,4,0.619439955013506,14,0.45567775065692434,14,0.578227009688831,3,0.7520887809618408
10,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'invscaling', 'clf__hidden_layer_sizes': (70,), 'clf__alpha': 0.01, 'clf__activation': 'logistic'}",10,0.5231269080951555,11,0.5694672982285884,8,0.529605158368174,13,0.6075223021640282,10,0.5156601790280658,10,0.5970638546159237,6,0.5844859667074169
11,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (10,), 'clf__alpha': 1e-06, 'clf__activation': 'identity'}",14,0.5001128412674398,15,0.5466916963606314,2,0.5958109452344069,8,0.6157962655593433,15,0.45530463801962057,13,0.5782794018171288,2,0.766726922651103
12,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'invscaling', 'clf__hidden_layer_sizes': (80,), 'clf__alpha': 1e-06, 'clf__activation': 'tanh'}",12,0.5183673709160458,9,0.5767390915870187,13,0.5210504959919727,15,0.6056601887352394,8,0.5163295886486776,6,0.617563397674091,12,0.5557262882849905
13,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (70,), 'clf__alpha': 0.01, 'clf__activation': 'relu'}",4,0.5330023973980517,5,0.5823667759737532,7,0.5330474511524598,6,0.6162458239134417,5,0.5298287605554696,7,0.6168040950008695,9,0.5721596913673967
14,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (90,), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",3,0.5349164787013047,3,0.5865183109916194,11,0.5213399888099762,5,0.618305889707592,3,0.5310149328750633,3,0.6236661973744961,15,0.5480359713630191
