,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'clf__n_estimators': 30, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",5,0.5216132015164213,10,0.5754720632165159,7,0.5054226966592796,13,0.6060339648259654,3,0.5258881980884682,10,0.6243051321806272,8,0.507561145761307
1,"{'clf__n_estimators': 100, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced'}",3,0.5222669920303684,2,0.5779434158128681,2,0.5130345124585891,2,0.6122566903254695,1,0.5260763550512242,6,0.6252034144474637,2,0.5230313737545058
2,"{'clf__n_estimators': 100, 'clf__criterion': 'gini', 'clf__class_weight': None}",7,0.5209615321023257,7,0.5763929482461181,10,0.5018743642044011,5,0.6107720669590667,9,0.5234529229522307,3,0.6257084194583571,10,0.5055100786301769
3,"{'clf__n_estimators': 150, 'clf__criterion': 'gini', 'clf__class_weight': None}",8,0.5208465047268719,6,0.5764064869799513,9,0.5022354155244639,3,0.6116856614505646,10,0.523251721595944,4,0.625677056193807,9,0.5064808378021541
4,"{'clf__n_estimators': 50, 'clf__criterion': 'entropy', 'clf__class_weight': None}",12,0.519546939442622,12,0.5743731439414758,13,0.49901074586707733,11,0.6071396615171654,11,0.522374019953074,11,0.6240866238651257,13,0.5005255044676414
5,"{'clf__n_estimators': 50, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",9,0.5208243027354711,8,0.5757803925268938,8,0.5046426161179196,9,0.6085529114878161,7,0.5242190709645858,7,0.6248702235565422,7,0.5085673448779422
6,"{'clf__n_estimators': 150, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced'}",1,0.5223735225186219,1,0.5784428061239633,1,0.5140381706315266,1,0.61346640031096,2,0.5260434168493852,2,0.6257784677002961,1,0.5249884919148736
7,"{'clf__n_estimators': 75, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",4,0.5217509331433249,5,0.5766585130704324,3,0.5106485896200306,7,0.6098248884575255,5,0.5252705076984427,8,0.624341446936382,3,0.5196041071499784
8,"{'clf__n_estimators': 30, 'clf__criterion': 'gini', 'clf__class_weight': None}",15,0.5177068331454452,15,0.5718647427476671,15,0.49619502184986736,14,0.6050138699467726,15,0.5210555768273104,15,0.6212255063488956,15,0.4956411379675325
9,"{'clf__n_estimators': 100, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced'}",6,0.5213326212344191,3,0.5772809084173003,6,0.5060980227409096,4,0.6114451967397436,8,0.524190027628383,1,0.6265176798755825,6,0.5123317951239765
10,"{'clf__n_estimators': 30, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced'}",11,0.5197535017817458,11,0.5746307151295073,4,0.509881848859134,12,0.606676176587301,6,0.5244624669083956,14,0.6227271991306061,4,0.51779364706474
11,"{'clf__n_estimators': 30, 'clf__criterion': 'entropy', 'clf__class_weight': None}",14,0.5184869864903807,14,0.573052570552356,14,0.49686341153125024,15,0.6040765813583945,14,0.521608735805306,13,0.6230902969934001,14,0.4965720992741703
12,"{'clf__n_estimators': 100, 'clf__criterion': 'entropy', 'clf__class_weight': None}",10,0.5197897552838265,9,0.575586202909759,11,0.4999458682903539,8,0.6092337812205627,13,0.5219777277078278,5,0.625305134560487,11,0.503466677335489
13,"{'clf__n_estimators': 50, 'clf__criterion': 'gini', 'clf__class_weight': None}",13,0.5192806042416512,13,0.5743663839510906,12,0.4995823895945671,10,0.608419325131497,12,0.5221684710559091,12,0.6236208156154693,12,0.5018027272110827
14,"{'clf__n_estimators': 75, 'clf__criterion': 'gini', 'clf__class_weight': None}",2,0.5222757979724926,4,0.5769011702214594,5,0.508296240793458,6,0.610257445262445,4,0.5255516762638365,9,0.6243257180854902,5,0.5154922870157749
