,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'trans__kernel': 'rbf', 'trans__gamma': 1, 'clf__class_weight': None, 'clf__C': 0.1}",4,0.518644433756012,1,0.5776527303539019,14,0.46035112785024496,9,0.6190394483703922,1,0.5092034938898854,1,0.6359096721330322,14,0.4548219446463693
1,"{'trans__kernel': 'sigmoid', 'trans__gamma': 1, 'clf__class_weight': None, 'clf__C': 0.1}",15,0.47903429177142587,15,0.5421660870362842,12,0.49230533336190585,14,0.5435219606084438,15,0.4657030107523753,14,0.5720168856590401,11,0.5515656701393766
2,"{'trans__kernel': 'linear', 'trans__gamma': 0.1, 'clf__class_weight': None, 'clf__C': 1}",1,0.551191026374188,5,0.5623408416912353,2,0.6592810009246176,4,0.6316543684166533,6,0.4898654457574671,13,0.578084200611798,2,0.8750046410283522
3,"{'trans__kernel': 'cosine', 'trans__gamma': 1, 'clf__class_weight': 'balanced', 'clf__C': 10}",10,0.5030144791075868,6,0.5622142275951348,9,0.5380239994140674,1,0.6336996602625066,10,0.4830528202349029,3,0.5895502436159359,9,0.6455440372488669
4,"{'trans__kernel': 'sigmoid', 'trans__gamma': 1, 'clf__class_weight': None, 'clf__C': 1}",12,0.49167582289481515,14,0.5427155766513425,11,0.5016521710087646,15,0.5406729075464632,7,0.4853643427100203,15,0.5702784495110501,12,0.5499147157755855
5,"{'trans__kernel': 'linear', 'trans__gamma': 0.1, 'clf__class_weight': 'balanced', 'clf__C': 10}",5,0.5123083445921055,8,0.5596028778082109,4,0.5840109887160361,7,0.6228061843936372,3,0.4935461611408692,9,0.5877882912235599,4,0.7077111664559151
6,"{'trans__kernel': 'linear', 'trans__gamma': 1, 'clf__class_weight': 'balanced', 'clf__C': 10}",5,0.5123083445921055,8,0.5596028778082109,4,0.5840109887160361,7,0.6228061843936372,3,0.4935461611408692,9,0.5877882912235599,4,0.7077111664559151
7,"{'trans__kernel': 'sigmoid', 'trans__gamma': 1, 'clf__class_weight': 'balanced', 'clf__C': 0.1}",14,0.4828843387182138,13,0.5439993143774786,15,0.4361713853221456,13,0.5546787590589136,13,0.46974830003696894,8,0.5880985513626017,15,0.44941784609851076
8,"{'trans__kernel': 'cosine', 'trans__gamma': 1, 'clf__class_weight': None, 'clf__C': 0.1}",3,0.5269920901881302,4,0.5628541080352254,3,0.6077378491740527,5,0.6238553970557871,5,0.49166149076731447,6,0.5888378462118131,3,0.7702983150192828
9,"{'trans__kernel': 'sigmoid', 'trans__gamma': 0.1, 'clf__class_weight': None, 'clf__C': 1}",7,0.5111611234561376,10,0.5564978598110424,8,0.5434198974997595,11,0.5977148077308229,9,0.4840316824552198,4,0.589426599668425,7,0.6510381115311257
10,"{'trans__kernel': 'sigmoid', 'trans__gamma': 0.1, 'clf__class_weight': None, 'clf__C': 10}",9,0.5101062754614696,11,0.5556483906114886,7,0.5441338296833078,12,0.5969621534915658,8,0.48445375502203114,5,0.5891564999112174,8,0.6498362248294676
11,"{'trans__kernel': 'linear', 'trans__gamma': 1, 'clf__class_weight': None, 'clf__C': 10}",2,0.546713195361118,3,0.5634985815624977,1,0.6602821524755411,3,0.6322201460745279,11,0.4814468739779804,12,0.579148400022604,1,0.8830057905034147
12,"{'trans__kernel': 'rbf', 'trans__gamma': 0.1, 'clf__class_weight': 'balanced', 'clf__C': 1}",8,0.5102633466434371,2,0.5669920258111734,13,0.46348736654868794,10,0.6050425452370511,2,0.5017519665004778,2,0.6151537696627313,13,0.4671811898355432
13,"{'trans__kernel': 'cosine', 'trans__gamma': 1, 'clf__class_weight': 'balanced', 'clf__C': 1}",11,0.49936073938484415,7,0.5609694950109063,10,0.5319878424280855,2,0.6324579179443571,12,0.4795100022133578,7,0.5886699662849364,10,0.6368392415781323
14,"{'trans__kernel': 'linear', 'trans__gamma': 1, 'clf__class_weight': 'balanced', 'clf__C': 0.1}",13,0.4892480627242942,12,0.5508568064232722,6,0.5465560382544492,6,0.6230370479838151,14,0.4670967616224702,11,0.5842029520608709,6,0.6634070085130246
