,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,Accuracy
0,identity,0.0001,"(10,)",constant,0.0001,0.8111841052488998
1,identity,0.0001,"(10,)",invscaling,0.0001,0.8111841013113587
2,identity,0.0001,"(10,)",adaptive,0.0001,0.8111841052488998
3,identity,0.0001,"(20,)",constant,0.0001,0.8112039465187412
4,identity,0.0001,"(20,)",invscaling,0.0001,0.8112039465187412
5,identity,0.0001,"(20,)",adaptive,0.0001,0.8112039465187412
6,identity,0.0001,"(30,)",constant,0.0001,0.8112039465187412
7,identity,0.0001,"(30,)",invscaling,0.0001,0.8112039465187412
8,identity,0.0001,"(30,)",adaptive,0.0001,0.8112039465187412
9,identity,0.0001,"(40,)",constant,0.0001,0.8112039465187412
10,identity,0.0001,"(40,)",invscaling,0.0001,0.8111841013113587
11,identity,0.0001,"(40,)",adaptive,0.0001,0.8111642561039762
12,identity,0.0001,"(50,)",constant,0.0001,0.8112039465187412
13,identity,0.0001,"(50,)",invscaling,0.0001,0.8111841013113587
14,identity,0.0001,"(50,)",adaptive,0.0001,0.8112039465187412
15,identity,0.0001,"(60,)",constant,0.0001,0.8111841013113587
16,identity,0.0001,"(60,)",invscaling,0.0001,0.8112039465187412
17,identity,0.0001,"(60,)",adaptive,0.0001,0.8111841052488998
18,identity,0.0001,"(70,)",constant,0.0001,0.8112039465187412
19,identity,0.0001,"(70,)",invscaling,0.0001,0.8112039465187412
20,identity,0.0001,"(70,)",adaptive,0.0001,0.8111841052488998
21,identity,0.0001,"(80,)",constant,0.0001,0.8112039465187412
22,identity,0.0001,"(80,)",invscaling,0.0001,0.8112039465187412
23,identity,0.0001,"(80,)",adaptive,0.0001,0.8112039465187412
24,identity,0.0001,"(90,)",constant,0.0001,0.8112039465187412
25,identity,0.0001,"(90,)",invscaling,0.0001,0.8112039465187412
26,identity,0.0001,"(90,)",adaptive,0.0001,0.8112039465187412
27,identity,0.0001,"(100,)",constant,0.0001,0.8112039465187412
28,identity,0.0001,"(100,)",invscaling,0.0001,0.8112039465187412
29,identity,0.0001,"(100,)",adaptive,0.0001,0.8112039465187412
30,logistic,0.0001,"(10,)",constant,0.0001,0.8112039465187412
31,logistic,0.0001,"(10,)",invscaling,0.0001,0.8112039465187412
32,logistic,0.0001,"(10,)",adaptive,0.0001,0.8112039465187412
33,logistic,0.0001,"(20,)",constant,0.0001,0.8112039465187412
34,logistic,0.0001,"(20,)",invscaling,0.0001,0.8112039465187412
35,logistic,0.0001,"(20,)",adaptive,0.0001,0.8112039465187412
36,logistic,0.0001,"(30,)",constant,0.0001,0.8112039465187412
37,logistic,0.0001,"(30,)",invscaling,0.0001,0.8112039465187412
38,logistic,0.0001,"(30,)",adaptive,0.0001,0.8112039465187412
39,logistic,0.0001,"(40,)",constant,0.0001,0.8112039465187412
40,logistic,0.0001,"(40,)",invscaling,0.0001,0.8112039465187412
41,logistic,0.0001,"(40,)",adaptive,0.0001,0.8112039465187412
42,logistic,0.0001,"(50,)",constant,0.0001,0.8112039465187412
43,logistic,0.0001,"(50,)",invscaling,0.0001,0.8112039465187412
44,logistic,0.0001,"(50,)",adaptive,0.0001,0.8112039465187412
45,logistic,0.0001,"(60,)",constant,0.0001,0.8112039465187412
46,logistic,0.0001,"(60,)",invscaling,0.0001,0.8112039465187412
47,logistic,0.0001,"(60,)",adaptive,0.0001,0.8112039465187412
48,logistic,0.0001,"(70,)",constant,0.0001,0.8112039465187412
49,logistic,0.0001,"(70,)",invscaling,0.0001,0.8112039465187412
50,logistic,0.0001,"(70,)",adaptive,0.0001,0.8112039465187412
51,logistic,0.0001,"(80,)",constant,0.0001,0.8112039465187412
52,logistic,0.0001,"(80,)",invscaling,0.0001,0.8112039465187412
53,logistic,0.0001,"(80,)",adaptive,0.0001,0.8112039465187412
54,logistic,0.0001,"(90,)",constant,0.0001,0.8112039465187412
55,logistic,0.0001,"(90,)",invscaling,0.0001,0.8112039465187412
56,logistic,0.0001,"(90,)",adaptive,0.0001,0.8112039465187412
57,logistic,0.0001,"(100,)",constant,0.0001,0.8112039465187412
58,logistic,0.0001,"(100,)",invscaling,0.0001,0.8112039465187412
59,logistic,0.0001,"(100,)",adaptive,0.0001,0.8112039465187412
60,tanh,0.0001,"(10,)",constant,0.0001,0.811521473774401
61,tanh,0.0001,"(10,)",invscaling,0.0001,0.8119182952336853
62,tanh,0.0001,"(10,)",adaptive,0.0001,0.8115413150442421
63,tanh,0.0001,"(20,)",constant,0.0001,0.8129501987670771
64,tanh,0.0001,"(20,)",invscaling,0.0001,0.8138233642666565
65,tanh,0.0001,"(20,)",adaptive,0.0001,0.8135058527611614
66,tanh,0.0001,"(30,)",constant,0.0001,0.8133273285830835
67,tanh,0.0001,"(30,)",invscaling,0.0001,0.8136646183577618
68,tanh,0.0001,"(30,)",adaptive,0.0001,0.8137638522697561
69,tanh,0.0001,"(40,)",constant,0.0001,0.813863070431586
70,tanh,0.0001,"(40,)",invscaling,0.0001,0.8138233603291155
71,tanh,0.0001,"(40,)",adaptive,0.0001,0.8133273128329191
72,tanh,0.0001,"(50,)",constant,0.0001,0.8138035111841917
73,tanh,0.0001,"(50,)",invscaling,0.0001,0.8138035387469799
74,tanh,0.0001,"(50,)",adaptive,0.0001,0.8137241539799092
75,tanh,0.0001,"(60,)",constant,0.0001,0.813704316647609
76,tanh,0.0001,"(60,)",invscaling,0.0001,0.8140218202780218
77,tanh,0.0001,"(60,)",adaptive,0.0001,0.813743983437127
78,tanh,0.0001,"(70,)",constant,0.0001,0.8137638483322149
79,tanh,0.0001,"(70,)",invscaling,0.0001,0.8138035190592742
80,tanh,0.0001,"(70,)",adaptive,0.0001,0.8135654159460965
81,tanh,0.0001,"(80,)",constant,0.0001,0.8136844596276032
82,tanh,0.0001,"(80,)",invscaling,0.0001,0.8137638522697562
83,tanh,0.0001,"(80,)",adaptive,0.0001,0.8136646341079263
84,tanh,0.0001,"(90,)",constant,0.0001,0.8137638601448384
85,tanh,0.0001,"(90,)",invscaling,0.0001,0.8135852414657734
86,tanh,0.0001,"(90,)",adaptive,0.0001,0.813843233099286
87,tanh,0.0001,"(100,)",constant,0.0001,0.8138035387469799
88,tanh,0.0001,"(100,)",invscaling,0.0001,0.8137043245226913
89,tanh,0.0001,"(100,)",adaptive,0.0001,0.813545566801173
90,relu,0.0001,"(10,)",constant,0.0001,0.8114817636719304
91,relu,0.0001,"(10,)",invscaling,0.0001,0.8114817400466835
92,relu,0.0001,"(10,)",adaptive,0.0001,0.811025355402464
93,relu,0.0001,"(20,)",constant,0.0001,0.8125533182446757
94,relu,0.0001,"(20,)",invscaling,0.0001,0.8123151757560866
95,relu,0.0001,"(20,)",adaptive,0.0001,0.8127716037132589
96,relu,0.0001,"(30,)",constant,0.0001,0.813267726022737
97,relu,0.0001,"(30,)",invscaling,0.0001,0.8131883215679604
98,relu,0.0001,"(30,)",adaptive,0.0001,0.81358526509102
99,relu,0.0001,"(40,)",constant,0.0001,0.814140883647234
100,relu,0.0001,"(40,)",invscaling,0.0001,0.8141607879177337
101,relu,0.0001,"(40,)",adaptive,0.0001,0.8142004232069227
102,relu,0.0001,"(50,)",constant,0.0001,0.8145377838573413
103,relu,0.0001,"(50,)",invscaling,0.0001,0.8146965179536126
104,relu,0.0001,"(50,)",adaptive,0.0001,0.8146568275388478
105,relu,0.0001,"(60,)",constant,0.0001,0.8149743154190962
106,relu,0.0001,"(60,)",invscaling,0.0001,0.8148155891979071
107,relu,0.0001,"(60,)",adaptive,0.0001,0.8151926048252204
108,relu,0.0001,"(70,)",constant,0.0001,0.8149544662741726
109,relu,0.0001,"(70,)",invscaling,0.0001,0.815133088890779
110,relu,0.0001,"(70,)",adaptive,0.0001,0.815232314927691
111,relu,0.0001,"(80,)",constant,0.0001,0.8152719777796678
112,relu,0.0001,"(80,)",invscaling,0.0001,0.8151529498483259
113,relu,0.0001,"(80,)",adaptive,0.0001,0.8150934063510963
114,relu,0.0001,"(90,)",constant,0.0001,0.815252175885238
115,relu,0.0001,"(90,)",invscaling,0.0001,0.8154704141033274
116,relu,0.0001,"(90,)",adaptive,0.0001,0.8152521680101558
117,relu,0.0001,"(100,)",constant,0.0001,0.8157284096743812
118,relu,0.0001,"(100,)",invscaling,0.0001,0.8152719738421267
