,clf__activation,clf__alpha,clf__hidden_layer_sizes,clf__learning_rate,clf__learning_rate_init,Accuracy
0,identity,0.0001,"(10,)",constant,0.0001,0.8112039465187412
1,identity,0.0001,"(10,)",invscaling,0.0001,0.8111642600415175
2,identity,0.0001,"(10,)",adaptive,0.0001,0.8111642639790585
3,identity,0.0001,"(20,)",constant,0.0001,0.8111841052488998
4,identity,0.0001,"(20,)",invscaling,0.0001,0.8111841052488998
5,identity,0.0001,"(20,)",adaptive,0.0001,0.8111841052488998
6,identity,0.0001,"(30,)",constant,0.0001,0.8111841052488998
7,identity,0.0001,"(30,)",invscaling,0.0001,0.8112039465187412
8,identity,0.0001,"(30,)",adaptive,0.0001,0.8112039465187412
9,identity,0.0001,"(40,)",constant,0.0001,0.8112039465187412
10,identity,0.0001,"(40,)",invscaling,0.0001,0.8111642600415175
11,identity,0.0001,"(40,)",adaptive,0.0001,0.8111841013113587
12,identity,0.0001,"(50,)",constant,0.0001,0.8112039465187412
13,identity,0.0001,"(50,)",invscaling,0.0001,0.8112039465187412
14,identity,0.0001,"(50,)",adaptive,0.0001,0.8112039465187412
15,identity,0.0001,"(60,)",constant,0.0001,0.8112039465187412
16,identity,0.0001,"(60,)",invscaling,0.0001,0.8111841052488998
17,identity,0.0001,"(60,)",adaptive,0.0001,0.8112039465187412
18,identity,0.0001,"(70,)",constant,0.0001,0.8112039465187412
19,identity,0.0001,"(70,)",invscaling,0.0001,0.8112039465187412
20,identity,0.0001,"(70,)",adaptive,0.0001,0.8112039465187412
21,identity,0.0001,"(80,)",constant,0.0001,0.8112039465187412
22,identity,0.0001,"(80,)",invscaling,0.0001,0.8112039465187412
23,identity,0.0001,"(80,)",adaptive,0.0001,0.8112039465187412
24,identity,0.0001,"(90,)",constant,0.0001,0.8112039465187412
25,identity,0.0001,"(90,)",invscaling,0.0001,0.8112039465187412
26,identity,0.0001,"(90,)",adaptive,0.0001,0.8112039465187412
27,identity,0.0001,"(100,)",constant,0.0001,0.8111841052488998
28,identity,0.0001,"(100,)",invscaling,0.0001,0.8112039465187412
29,identity,0.0001,"(100,)",adaptive,0.0001,0.8112039465187412
30,logistic,0.0001,"(10,)",constant,0.0001,0.8112039465187412
31,logistic,0.0001,"(10,)",invscaling,0.0001,0.8112039465187412
32,logistic,0.0001,"(10,)",adaptive,0.0001,0.8112039465187412
33,logistic,0.0001,"(20,)",constant,0.0001,0.8112039465187412
34,logistic,0.0001,"(20,)",invscaling,0.0001,0.8112039465187412
35,logistic,0.0001,"(20,)",adaptive,0.0001,0.8112039465187412
36,logistic,0.0001,"(30,)",constant,0.0001,0.8112039465187412
37,logistic,0.0001,"(30,)",invscaling,0.0001,0.8112039465187412
38,logistic,0.0001,"(30,)",adaptive,0.0001,0.8112039465187412
39,logistic,0.0001,"(40,)",constant,0.0001,0.8112039465187412
40,logistic,0.0001,"(40,)",invscaling,0.0001,0.8112039465187412
41,logistic,0.0001,"(40,)",adaptive,0.0001,0.8112039465187412
42,logistic,0.0001,"(50,)",constant,0.0001,0.8112039465187412
43,logistic,0.0001,"(50,)",invscaling,0.0001,0.8112039465187412
44,logistic,0.0001,"(50,)",adaptive,0.0001,0.8112039465187412
45,logistic,0.0001,"(60,)",constant,0.0001,0.8112039465187412
46,logistic,0.0001,"(60,)",invscaling,0.0001,0.8112039465187412
47,logistic,0.0001,"(60,)",adaptive,0.0001,0.8112039465187412
48,logistic,0.0001,"(70,)",constant,0.0001,0.8112039465187412
49,logistic,0.0001,"(70,)",invscaling,0.0001,0.8112039465187412
50,logistic,0.0001,"(70,)",adaptive,0.0001,0.8112039465187412
51,logistic,0.0001,"(80,)",constant,0.0001,0.8112039465187412
52,logistic,0.0001,"(80,)",invscaling,0.0001,0.8112039465187412
53,logistic,0.0001,"(80,)",adaptive,0.0001,0.8112039465187412
54,logistic,0.0001,"(90,)",constant,0.0001,0.8112039465187412
55,logistic,0.0001,"(90,)",invscaling,0.0001,0.8112039465187412
56,logistic,0.0001,"(90,)",adaptive,0.0001,0.8112039465187412
57,logistic,0.0001,"(100,)",constant,0.0001,0.8112039465187412
58,logistic,0.0001,"(100,)",invscaling,0.0001,0.8112039465187412
59,logistic,0.0001,"(100,)",adaptive,0.0001,0.8112039465187412
60,tanh,0.0001,"(10,)",constant,0.0001,0.8122557425100092
61,tanh,0.0001,"(10,)",invscaling,0.0001,0.8116206092478666
62,tanh,0.0001,"(10,)",adaptive,0.0001,0.8114619342147126
63,tanh,0.0001,"(20,)",constant,0.0001,0.81356542775872
64,tanh,0.0001,"(20,)",invscaling,0.0001,0.8138233642666567
65,tanh,0.0001,"(20,)",adaptive,0.0001,0.8134066070365435
66,tanh,0.0001,"(30,)",constant,0.0001,0.8131090037390891
67,tanh,0.0001,"(30,)",invscaling,0.0001,0.8136447731503793
68,tanh,0.0001,"(30,)",adaptive,0.0001,0.8133272380196374
69,tanh,0.0001,"(40,)",constant,0.0001,0.8137241657925325
70,tanh,0.0001,"(40,)",invscaling,0.0001,0.8137043245226913
71,tanh,0.0001,"(40,)",adaptive,0.0001,0.8138035308718976
72,tanh,0.0001,"(50,)",constant,0.0001,0.8140019671955573
73,tanh,0.0001,"(50,)",invscaling,0.0001,0.8136447692128383
74,tanh,0.0001,"(50,)",adaptive,0.0001,0.8138630664940448
75,tanh,0.0001,"(60,)",constant,0.0001,0.8135455471134673
76,tanh,0.0001,"(60,)",invscaling,0.0001,0.8136447849630029
77,tanh,0.0001,"(60,)",adaptive,0.0001,0.8137836817269741
78,tanh,0.0001,"(70,)",constant,0.0001,0.8137241618549915
79,tanh,0.0001,"(70,)",invscaling,0.0001,0.8137638365195917
80,tanh,0.0001,"(70,)",adaptive,0.0001,0.8135257215937907
81,tanh,0.0001,"(80,)",constant,0.0001,0.8139821456134217
82,tanh,0.0001,"(80,)",invscaling,0.0001,0.8140615264429514
83,tanh,0.0001,"(80,)",adaptive,0.0001,0.8138233800168212
84,tanh,0.0001,"(90,)",constant,0.0001,0.8138432330992857
85,tanh,0.0001,"(90,)",invscaling,0.0001,0.8139027726589741
86,tanh,0.0001,"(90,)",adaptive,0.0001,0.813704316647609
87,tanh,0.0001,"(100,)",constant,0.0001,0.8137241421672858
88,tanh,0.0001,"(100,)",invscaling,0.0001,0.8139226060537332
89,tanh,0.0001,"(100,)",adaptive,0.0001,0.8137043048349856
90,relu,0.0001,"(10,)",constant,0.0001,0.8112238192889116
91,relu,0.0001,"(10,)",invscaling,0.0001,0.8114817124838956
92,relu,0.0001,"(10,)",adaptive,0.0001,0.8117397671180664
93,relu,0.0001,"(20,)",constant,0.0001,0.8126525600317525
94,relu,0.0001,"(20,)",invscaling,0.0001,0.8125137420186042
95,relu,0.0001,"(20,)",adaptive,0.0001,0.8121960690739218
96,relu,0.0001,"(30,)",constant,0.0001,0.8141408600219873
97,relu,0.0001,"(30,)",invscaling,0.0001,0.8134264876817963
98,relu,0.0001,"(30,)",adaptive,0.0001,0.8129502853929823
99,relu,0.0001,"(40,)",constant,0.0001,0.8138431897863333
100,relu,0.0001,"(40,)",invscaling,0.0001,0.813942407948163
