,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'invscaling', 'clf__hidden_layer_sizes': (100,), 'clf__alpha': 0.0001, 'clf__activation': 'logistic'}",4,0.5449826951566596,4,0.5695819791938902,8,0.46079838582426624,5,0.6153780968063292,4,0.5275179302083761,4,0.5800662568654912,9,0.4631526006386031
1,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (20,), 'clf__alpha': 1e-05, 'clf__activation': 'logistic'}",5,0.5394474475216725,6,0.5601318659855379,10,0.44929052352295845,6,0.6074299113760654,6,0.518811695543826,5,0.5726078953655902,10,0.4581980233377322
2,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (60,), 'clf__alpha': 0.0001, 'clf__activation': 'logistic'}",3,0.5463855909163425,3,0.570407723116501,7,0.4638106399267665,3,0.6160030915752113,3,0.5285557709537606,3,0.5864755896328988,8,0.46981787114633405
3,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (80,), 'clf__alpha': 0.001, 'clf__activation': 'identity'}",8,0.5134723870749979,7,0.5492778957858321,3,0.5318610461732506,9,0.5957662473845862,7,0.479999844546905,7,0.5375535338454345,3,0.6539763691873766
4,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (60,), 'clf__alpha': 1e-06, 'clf__activation': 'tanh'}",2,0.5595223118477708,2,0.5819152618984171,6,0.4899288730162374,2,0.6196266256672095,2,0.5487322158649073,2,0.5906687691682566,6,0.48794823501125634
5,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'invscaling', 'clf__hidden_layer_sizes': (40,), 'clf__alpha': 0.1, 'clf__activation': 'relu'}",6,0.5386516359106979,5,0.5632396795150484,9,0.45545707733327084,4,0.6159166950231331,5,0.5188863135016409,6,0.5612704183895614,7,0.47151480263260404
6,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'invscaling', 'clf__hidden_layer_sizes': (60,), 'clf__alpha': 0.0001, 'clf__activation': 'identity'}",10,0.5082075981652385,10,0.547569527868734,4,0.5200343021500834,10,0.5955746957201747,10,0.47092191199620675,10,0.532848505661467,4,0.6455958991341106
7,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'invscaling', 'clf__hidden_layer_sizes': (80,), 'clf__alpha': 1e-06, 'clf__activation': 'relu'}",1,0.5630689549559089,1,0.5857367842002544,5,0.4915523254781099,1,0.626579650740799,1,0.5518234520550475,1,0.5970327558804356,5,0.490619747646554
8,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'constant', 'clf__hidden_layer_sizes': (80,), 'clf__alpha': 0.0001, 'clf__activation': 'identity'}",9,0.513465153211609,8,0.549266549898547,2,0.5318638677667906,8,0.595766717130447,8,0.4799973346759039,8,0.5375217952901523,2,0.653984241205831
9,"{'clf__learning_rate_init': 0.0001, 'clf__learning_rate': 'adaptive', 'clf__hidden_layer_sizes': (70,), 'clf__alpha': 0.1, 'clf__activation': 'identity'}",7,0.5156089415792473,9,0.5482301153222929,1,0.5357775820896874,7,0.5960558386268573,9,0.4799069490887974,9,0.5350857442996929,1,0.6645069872740328
