,class_weight,criterion,n_estimators,Accuracy
0,balanced,gini,10,0.8294604269239615
1,balanced,gini,30,0.8347389725222628
2,balanced,gini,50,0.8363661023382696
3,balanced,gini,75,0.8378742514734279
4,balanced,gini,100,0.838211596373682
5,balanced,entropy,10,0.8293810579070552
6,balanced,entropy,30,0.8353936832389899
7,balanced,entropy,50,0.8367034236132769
8,balanced,entropy,75,0.8374177998910088
9,balanced,entropy,100,0.8380726562967583
10,,gini,10,0.8292817846196494
11,,gini,30,0.8353341948673364
12,,gini,50,0.8365645189742233
13,,gini,75,0.83727891100212
14,,gini,100,0.8377750293740569
15,,entropy,10,0.829043579130402
16,,entropy,30,0.8354532109860549
17,,entropy,50,0.8366042842022698
18,,entropy,75,0.8365645937875051
19,,entropy,100,0.838013148237399
