,clf__class_weight,clf__criterion,clf__n_estimators,Accuracy
0,balanced,gini,10,0.829043579130402
1,balanced,gini,30,0.8346794762755272
2,balanced,gini,50,0.8364454437923877
3,balanced,gini,75,0.8377154937519098
4,balanced,gini,100,0.8377948548937336
5,balanced,entropy,10,0.8303335097351768
6,balanced,entropy,30,0.8359096271306037
7,balanced,entropy,50,0.8365843523689822
8,balanced,entropy,75,0.8375765576125269
9,balanced,entropy,100,0.8384497073619419
10,,gini,10,0.8284880275123875
11,,gini,30,0.8348182194753937
12,,gini,50,0.8364851853951875
13,,gini,75,0.8369416212274418
14,,gini,100,0.8370606806591129
15,,entropy,10,0.828031591680133
16,,entropy,30,0.8352746868079771
17,,entropy,50,0.8368225381705239
18,,entropy,75,0.8371797007153724
19,,entropy,100,0.8374971964707031
