,C,class_weight,kernel,Accuracy
0,1,,linear,0.8112039465187412
1,1,,rbf,0.8138035190592742
2,1,,poly,0.8111841013113587
3,1,,sigmoid,0.6965453392112948
4,1,balanced,linear,0.3304429379412015
5,1,balanced,rbf,0.5127501323013826
6,1,balanced,poly,0.30605462314581194
7,1,balanced,sigmoid,0.5032445181552146
8,10,,linear,0.8112039465187412
9,10,,rbf,0.8132478926279779
10,10,,poly,0.8111841013113587
11,10,,sigmoid,0.690215099997795
12,10,balanced,linear,0.3330425971076397
13,10,balanced,rbf,0.572401309468684
14,10,balanced,poly,0.35358141023823697
15,10,balanced,sigmoid,0.5035223195582393
