,clf__C,clf__class_weight,clf__kernel,Accuracy
0,1,,linear,0.8112039465187412
1,1,,rbf,0.8138035190592742
2,1,,poly,0.8111841013113587
3,1,,sigmoid,0.6966247121657421
4,1,balanced,linear,0.3305024735633487
5,1,balanced,rbf,0.5126707672220175
6,1,balanced,poly,0.30595539317135867
7,1,balanced,sigmoid,0.503085744683532
8,10,,linear,0.8112039465187412
9,10,,rbf,0.8132478926279779
10,10,,poly,0.8111841013113587
11,10,,sigmoid,0.6900364970688944
12,10,balanced,linear,0.33314181526946957
13,10,balanced,rbf,0.5723020952443953
14,10,balanced,poly,0.35379967208157326
15,10,balanced,sigmoid,0.5031055702032086
