,params,rank_test_accuracy,mean_test_accuracy,rank_test_balanced_accuracy,mean_test_balanced_accuracy,rank_test_f1,mean_test_f1,rank_test_roc_auc,mean_test_roc_auc,rank_test_f1_weighted,mean_test_f1_weighted,rank_test_precision,mean_test_precision,rank_test_recall,mean_test_recall
0,"{'trans__kernel': 'rbf', 'trans__gamma': 0.1, 'clf__class_weight': None, 'clf__C': 1}",7,0.5450100308609516,5,0.5693380640737602,8,0.43324124449941,2,0.6103611063101336,5,0.5212872217508431,1,0.5951973039611027,8,0.4221362948741169
1,"{'trans__kernel': 'sigmoid', 'trans__gamma': 1, 'clf__class_weight': 'balanced', 'clf__C': 1}",5,0.5543099705377982,8,0.5571572388328891,2,0.552663376082402,8,0.5917740707745341,6,0.5199523084871093,9,0.5408471833195979,2,0.6750232911260515
2,"{'trans__kernel': 'rbf', 'trans__gamma': 0.1, 'clf__class_weight': 'balanced', 'clf__C': 1}",4,0.5561393089201518,2,0.571725714785654,6,0.44073655264222117,1,0.6117584159260511,2,0.5344027204170828,2,0.5940963618696387,9,0.42208965509921165
3,"{'trans__kernel': 'linear', 'trans__gamma': 1, 'clf__class_weight': 'balanced', 'clf__C': 0.1}",1,0.5711189287872966,3,0.5705735747953512,4,0.5111577844736728,3,0.6102474772651978,1,0.5430566411188309,5,0.5646205955039046,4,0.5773972869342912
4,"{'trans__kernel': 'sigmoid', 'trans__gamma': 0.1, 'clf__class_weight': 'balanced', 'clf__C': 1}",10,0.5412708725896298,7,0.5629546620511494,3,0.5289704808556012,4,0.6069602498494223,9,0.5120161235045906,7,0.5539283719492067,3,0.624061275754451
5,"{'trans__kernel': 'rbf', 'trans__gamma': 0.1, 'clf__class_weight': None, 'clf__C': 10}",6,0.547828252615717,1,0.5719017194284005,7,0.43828521651799957,6,0.6054473124622853,4,0.5257902816279745,3,0.5859984721967472,7,0.4262315896213393
6,"{'trans__kernel': 'cosine', 'trans__gamma': 1, 'clf__class_weight': 'balanced', 'clf__C': 0.1}",9,0.5417257715633172,9,0.5487258299593087,9,0.4271595554865708,10,0.5726420345949735,8,0.5142472586304834,8,0.5534631873897656,6,0.4299882154612816
7,"{'trans__kernel': 'sigmoid', 'trans__gamma': 1, 'clf__class_weight': 'balanced', 'clf__C': 0.1}",2,0.5634714053570361,10,0.5428685203527738,1,0.5789206173181126,7,0.5985704402481699,10,0.5086777992776064,10,0.5259915216417461,1,0.7534318070637025
8,"{'trans__kernel': 'linear', 'trans__gamma': 1, 'clf__class_weight': None, 'clf__C': 1}",3,0.55701239447439,4,0.5702615631768392,5,0.49315700934085094,5,0.6062433286889065,3,0.5325932147534199,6,0.5563589227924902,5,0.5472064118867311
9,"{'trans__kernel': 'cosine', 'trans__gamma': 1, 'clf__class_weight': None, 'clf__C': 10}",8,0.5436980800064661,6,0.5634947450086307,10,0.4171699231980806,9,0.5917719246477657,7,0.5161763046901395,4,0.5717995017104027,10,0.40353660437520267
