,params,rank_test_f1,mean_test_f1
0,"{'subsample': 0.6, 'scale_sqrt': 4, 'reg_lambda': 0.1, 'reg_alpha': 0.05, 'n_estimators': 150, 'min_child_weight': 2, 'max_depth': 3, 'learning_rate': 0.15, 'gamma': 0}",2,0.6732412260541797
1,"{'subsample': 0.8, 'scale_sqrt': 3, 'reg_lambda': 0.1, 'reg_alpha': 0.0001, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 15, 'learning_rate': 0.2, 'gamma': 0.5}",7,0.6422868722088132
2,"{'subsample': 1.0, 'scale_sqrt': 3, 'reg_lambda': 0.05, 'reg_alpha': 0.05, 'n_estimators': 300, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.5}",4,0.6562852123816498
3,"{'subsample': 0.8, 'scale_sqrt': 3, 'reg_lambda': 0.05, 'reg_alpha': 0.01, 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 15, 'learning_rate': 0.2, 'gamma': 0.5}",8,0.6407444074449764
4,"{'subsample': 1.0, 'scale_sqrt': 2, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 250, 'min_child_weight': 2, 'max_depth': 30, 'learning_rate': 0.25, 'gamma': 1}",13,0.619438230476272
5,"{'subsample': 0.6, 'scale_sqrt': 2, 'reg_lambda': 0.0001, 'reg_alpha': 0.0001, 'n_estimators': 250, 'min_child_weight': 10, 'max_depth': 20, 'learning_rate': 0.05, 'gamma': 0.5}",10,0.622028069805124
6,"{'subsample': 1.0, 'scale_sqrt': 2, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 20, 'learning_rate': 0.05, 'gamma': 0}",11,0.621244544557212
7,"{'subsample': 1.0, 'scale_sqrt': 4, 'reg_lambda': 0.1, 'reg_alpha': 0.0001, 'n_estimators': 200, 'min_child_weight': 2, 'max_depth': 20, 'learning_rate': 0.3, 'gamma': 1.5}",5,0.6484295895987361
8,"{'subsample': 0.6, 'scale_sqrt': 1, 'reg_lambda': 0.05, 'reg_alpha': 0.05, 'n_estimators': 150, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 1.5}",14,0.5289516740482443
9,"{'subsample': 1.0, 'scale_sqrt': 3, 'reg_lambda': 0.001, 'reg_alpha': 0.0001, 'n_estimators': 100, 'min_child_weight': 2, 'max_depth': 10, 'learning_rate': 0.25, 'gamma': 0}",6,0.6437340241585013
10,"{'subsample': 1.0, 'scale_sqrt': 2, 'reg_lambda': 0.0001, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 20, 'learning_rate': 0.1, 'gamma': 0.5}",12,0.6197834204443315
11,"{'subsample': 0.8, 'scale_sqrt': 2, 'reg_lambda': 0.0001, 'reg_alpha': 0.0001, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.5}",9,0.6306178712453889
12,"{'subsample': 0.8, 'scale_sqrt': 3, 'reg_lambda': 0.1, 'reg_alpha': 0.0001, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 1.5}",3,0.6622874235349664
13,"{'subsample': 0.6, 'scale_sqrt': 4, 'reg_lambda': 0.0001, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 4, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 5}",1,0.7120609799288952
14,"{'subsample': 0.6, 'scale_sqrt': 1, 'reg_lambda': 0.1, 'reg_alpha': 0.0001, 'n_estimators': 250, 'min_child_weight': 4, 'max_depth': 30, 'learning_rate': 0.15, 'gamma': 2}",15,0.5197846644526721
